Nome;Ruolo;Squadra;Lega;Prezzo;CostoOfferta;Eta;ExpectedBonus;ExpectedMalus;Availability;ChancesCreated;AssistRate;Presenze;MediaVoto;Fantamedia;GolFatti;Assist;Ammonizioni;Espulsioni
Carnesecchi;P;Atalanta;Serie A;22;22;;0.08;0.0;0.97;0;0.0;37;6.36;5.58;0;0;0;0
Milinkovic-Savic V.;P;Napoli;Serie A;20;20;;0.15;0.0;0.71;0;0.0;27;6.2;5.65;0;0;0;0
Svilar;P;Roma;Serie A;22;22;;0.0;0.0;1.0;0;0.0;38;6.26;5.45;0;0;0;0
Butez;P;Como;Serie A;23;23;;0.08;0.09;1.0;0;0.03;38;6.07;5.37;0;1;3;0
Maignan;P;Milan;Serie A;21;21;;0.0;0.12;0.97;0;0.0;37;6.26;5.42;0;0;4;0
Di Gregorio;P;Juventus;Serie A;20;20;;0.0;0.03;0.79;0;0.0;30;6.08;5.33;0;0;1;0
Falcone;P;Lecce;Serie A;22;22;;0.0;0.06;1.0;0;0.0;38;6.41;5.22;0;0;2;0
Okoye;P;Udinese;Serie A;21;21;;0.08;0.28;0.79;0;0.03;30;6.07;5.08;0;1;1;1
Sommer;P;Inter;Serie A;20;20;;0.0;0.0;0.87;0;0.0;33;5.92;5.02;0;0;0;0
Caprile;P;Cagliari;Serie A;22;22;;0.0;0.06;1.0;0;0.0;38;6.29;4.87;0;0;2;0
Audero;P;Cremonese;Serie A;20;20;;0.0;0.0;0.89;0;0.0;34;6.21;4.91;0;0;0;0
De Gea;P;Fiorentina;Serie A;21;21;;0.0;0.0;0.97;0;0.0;37;6.24;5.0;0;0;0;0
Montipò;P;Verona;Serie A;22;22;;0.08;0.0;0.92;0;0.03;35;6.2;4.94;0;1;0;0
Skorupski;P;Bologna;Serie A;16;16;;0.0;0.28;0.47;0;0.0;18;6.19;5.28;0;0;1;1
Provedel;P;Lazio;Serie A;19;19;;0.0;0.03;0.71;0;0.0;27;6.26;5.35;0;0;1;0
Suzuki;P;Parma;Serie A;17;17;;0.0;0.03;0.53;0;0.0;20;6.02;4.75;0;0;1;0
Muric;P;Sassuolo;Serie A;20;20;;0.0;0.12;0.84;0;0.0;32;6.08;4.77;0;0;4;0
Bijlow;P;Genoa;Serie A;16;16;;0.0;0.03;0.42;0;0.0;16;6.06;4.78;0;0;1;0
Leali;P;Genoa;Serie A;18;18;;0.0;0.31;0.58;0;0.0;22;6.16;4.84;0;0;2;1
